theme_code,subtheme_code,subtheme_name,typical_expressions
commodity_price,crude_oil,原油,原油価格|WTI|ブレント
commodity_price,natural_gas,天然ガス・LNG,天然ガス|LNG価格
commodity_price,coal,石炭,石炭価格|原料炭
commodity_price,petrochemical,石化原料・ナフサ,ナフサ|石化原料|樹脂原料
commodity_price,grain,穀物・油糧種子,小麦|大豆|とうもろこし|穀物相場|油糧種子
commodity_price,livestock,畜産物,食肉相場|鶏卵|乳原料
commodity_price,marine,水産物,水産物価格|魚価|漁獲
commodity_price,base_metal,非鉄・卑金属,銅|アルミ|ニッケル|非鉄
commodity_price,precious_metal,貴金属,金|銀|プラチナ
commodity_price,iron_ore,鉄鉱石・鉄鋼原料,鉄鉱石|鉄スクラップ
commodity_price,other_commodity,その他国際商品,
import_price,energy_import,エネルギー輸入価格,輸入燃料価格|エネルギー輸入コスト
import_price,food_import,食品・飼料輸入価格,輸入食品原料|飼料価格
import_price,material_import,原材料輸入価格,輸入原材料価格
import_price,intermediate_import,中間財輸入価格,輸入中間財|部材輸入コスト
fx,usd_jpy,ドル円,ドル円|対米ドル
fx,eur_jpy,ユーロ円,ユーロ円|対ユーロ
fx,asia_fx,アジア通貨,人民元|ウォン|バーツ|アジア通貨
fx,other_fx,その他通貨,
labor_market,labor_shortage,人手不足,人手不足|人材確保難|採用難
labor_market,wage_increase,賃金上昇,賃上げ|賃金上昇|人件費相場
labor_market,minimum_wage,最低賃金,最低賃金
labor_market,shunto,春闘・賃金交渉,春闘|賃金交渉
labor_market,labor_supply,労働供給制約,労働供給|就業者数|２０２４年問題
labor_market,labor_mobility,労働移動,転職|人材流動
demand,domestic_demand,国内需要,国内需要|内需
demand,overseas_demand,海外需要,海外需要|外需
demand,export_demand,輸出需要,輸出需要|輸出環境
demand,inbound_demand,インバウンド需要,インバウンド|訪日
demand,capex_demand,設備投資需要,設備投資需要|投資意欲
consumer,real_income,実質所得,実質賃金|実質所得|可処分所得
consumer,thrift,節約志向,節約志向|生活防衛|低価格志向
consumer,sentiment,消費マインド,消費者マインド|消費者心理
consumer,spending_shift,需要シフト,内食|外食化|選択的支出
financial_conditions,policy_rate,政策金利,政策金利|利上げ|金融政策
financial_conditions,market_rate,市場金利,長期金利|国債利回り|イールドカーブ
financial_conditions,lending_rate,貸出金利,貸出金利|借入金利
financial_conditions,credit_condition,信用環境,信用環境|与信
financial_conditions,funding_condition,資金調達環境,資金調達環境|起債環境
trade_policy,tariff,関税,関税|相互関税
trade_policy,export_control,輸出規制,輸出規制|輸出管理
trade_policy,import_restriction,輸入規制,輸入規制|輸入制限
trade_policy,sanction,経済制裁,経済制裁|禁輸
trade_policy,trade_agreement,貿易協定,貿易協定|EPA|FTA
geopolitics,middle_east,中東情勢,中東|イスラエル|イラン
geopolitics,russia_ukraine,ロシア・ウクライナ,ロシア|ウクライナ
geopolitics,us_china,米中対立,米中|デカップリング
geopolitics,taiwan_strait,台湾海峡,台湾
geopolitics,shipping_route,海上輸送路,紅海|スエズ|パナマ運河|ホルムズ
geopolitics,other_geopolitics,その他地政学,
supply_chain,logistics_disruption,物流混乱,物流の混乱|輸送の遅延
supply_chain,shipping_constraint,海上輸送制約,海上輸送|コンテナ|船腹
supply_chain,parts_shortage,部材不足,部材不足|半導体不足|供給不足
supply_chain,procurement_difficulty,調達難,調達難|調達制約
supply_chain,supplier_disruption,取引先の供給停止,取引先の生産停止|サプライヤーの被災
industry_supply_demand,oversupply,供給過剰,供給過剰|生産過剰
industry_supply_demand,undersupply,供給不足,供給不足|品薄
industry_supply_demand,inventory_adjustment,在庫調整,在庫調整|在庫圧縮
industry_supply_demand,capacity_balance,生産能力の過不足,稼働率|生産能力
industry_supply_demand,market_condition,市況,市況の悪化|市況の改善
industry_supply_demand,competition,競争環境,競争激化|価格競争
tech_investment_cycle,ai_demand,AI需要,AI需要|生成AI
tech_investment_cycle,semiconductor_cycle,半導体サイクル,半導体市況|半導体需要
tech_investment_cycle,datacenter_capex,データセンター投資,データセンター|DC投資
tech_investment_cycle,it_investment,IT投資,IT投資|DX投資
tech_investment_cycle,ev_shift,EV化・電動化,EV|電動化
tech_investment_cycle,replacement_demand,技術更新需要,更新需要|リプレース
regulation,environment,環境規制,環境規制|排出規制
regulation,decarbonization,脱炭素政策,脱炭素|カーボンプライシング|GX
regulation,tax,税制,税制改正|課税
regulation,subsidy,補助金,補助金|助成
regulation,industry_law,業法・制度改正,業法|制度改正|法改正
regulation,accounting_disclosure,会計・開示制度,会計基準|開示制度
asset_price,land_price,地価,地価|路線価
asset_price,real_estate_price,不動産価格,不動産価格|物件価格
asset_price,rent,賃料相場,賃料|空室率
asset_price,equity_price,株価,株式相場|株価水準
weather_disaster,heatwave,猛暑,猛暑|記録的な暑さ
weather_disaster,warm_winter,暖冬,暖冬
weather_disaster,cold_wave,寒波,寒波|厳冬
weather_disaster,typhoon,台風,台風
weather_disaster,heavy_rain,豪雨・洪水,豪雨|大雨|洪水|浸水
weather_disaster,earthquake,地震,地震
weather_disaster,drought,干ばつ,干ばつ|渇水
weather_disaster,poor_harvest,不作・不漁,不作|不漁|作柄
