level,theme_code,subtheme_code,name,definition,includes,excludes,typical_expressions
L1,commodity_price,,商品市況・資源価格,国際市場における一次産品・資源そのものの価格変動。,原油|天然ガス|石炭|ナフサ・石化原料|穀物・油糧種子|食肉・水産物|非鉄・貴金属|鉄鉱石,日本への輸入段階の価格（import_price）|為替変動（fx）|自社の調達価格そのもの,原油価格の高騰|ナフサ価格の上昇|穀物相場の上昇|国際市況の変動
L2,commodity_price,crude_oil,原油,,,,原油価格|WTI|ブレント
L2,commodity_price,natural_gas,天然ガス・LNG,,,,天然ガス|LNG価格
L2,commodity_price,coal,石炭,,,,石炭価格|原料炭
L2,commodity_price,petrochemical,石化原料・ナフサ,,,,ナフサ|石化原料|樹脂原料
L2,commodity_price,grain,穀物・油糧種子,,,,小麦|大豆|とうもろこし|穀物相場|油糧種子
L2,commodity_price,livestock,畜産物,,,,食肉相場|鶏卵|乳原料
L2,commodity_price,marine,水産物,,,,水産物価格|魚価|漁獲
L2,commodity_price,base_metal,非鉄・卑金属,,,,銅|アルミ|ニッケル|非鉄
L2,commodity_price,precious_metal,貴金属,,,,金|銀|プラチナ
L2,commodity_price,iron_ore,鉄鉱石・鉄鋼原料,,,,鉄鉱石|鉄スクラップ
L2,commodity_price,other_commodity,その他国際商品,,,,
L1,import_price,,輸入物価,海外価格・為替・商品市況を経由して日本国内へ流入する価格圧力。,輸入原材料価格|輸入エネルギー価格|輸入食品・飼料価格|中間財の輸入価格,国際商品市況そのもの（commodity_price）|為替そのもの（fx）,輸入原材料価格の上昇|輸入コストの増加|海外調達コストの上昇
L2,import_price,energy_import,エネルギー輸入価格,,,,輸入燃料価格|エネルギー輸入コスト
L2,import_price,food_import,食品・飼料輸入価格,,,,輸入食品原料|飼料価格
L2,import_price,material_import,原材料輸入価格,,,,輸入原材料価格
L2,import_price,intermediate_import,中間財輸入価格,,,,輸入中間財|部材輸入コスト
L1,fx,,為替,為替相場の変動。,円安・円高|主要通貨ペアの変動|新興国通貨の変動,為替差損益の計上（企業への影響）|為替予約の締結（企業アクション）,円安の進行|為替相場の変動|急激な円安
L2,fx,usd_jpy,ドル円,,,,ドル円|対米ドル
L2,fx,eur_jpy,ユーロ円,,,,ユーロ円|対ユーロ
L2,fx,asia_fx,アジア通貨,,,,人民元|ウォン|バーツ|アジア通貨
L2,fx,other_fx,その他通貨,,,,
L1,labor_market,,労働市場,労働需給・賃金水準に関する外部環境の変化。,人手不足|採用難|賃金上昇|最低賃金の改定|春闘・賃金交渉|労働供給制約|労働移動,自社の人件費増加（企業への影響）|省人化投資・自動化（企業アクション）,人手不足の深刻化|賃上げの動き|最低賃金の引上げ|労働需給の逼迫
L2,labor_market,labor_shortage,人手不足,,,,人手不足|人材確保難|採用難
L2,labor_market,wage_increase,賃金上昇,,,,賃上げ|賃金上昇|人件費相場
L2,labor_market,minimum_wage,最低賃金,,,,最低賃金
L2,labor_market,shunto,春闘・賃金交渉,,,,春闘|賃金交渉
L2,labor_market,labor_supply,労働供給制約,,,,労働供給|就業者数|２０２４年問題
L2,labor_market,labor_mobility,労働移動,,,,転職|人材流動
L1,demand,,需要環境,特定市場・地域における需要の強弱。地域・最終需要市場は別次元で表現する。,国内需要|海外需要|輸出需要|インバウンド需要|設備投資需要,自社の販売数量の増減（企業への影響）|家計の消費行動（consumer）|産業内の在庫・供給バランス（industry_supply_demand）,国内需要の低迷|海外需要の回復|インバウンド需要の増加|設備投資需要の拡大
L2,demand,domestic_demand,国内需要,,,,国内需要|内需
L2,demand,overseas_demand,海外需要,,,,海外需要|外需
L2,demand,export_demand,輸出需要,,,,輸出需要|輸出環境
L2,demand,inbound_demand,インバウンド需要,,,,インバウンド|訪日
L2,demand,capex_demand,設備投資需要,,,,設備投資需要|投資意欲
L1,consumer,,消費・家計,家計の所得・支出行動の変化。,実質所得|節約志向|消費マインド|選択的支出|内食・外食シフト|購買行動の変化,自社の客数増減（企業への影響）|価格改定（企業アクション）,節約志向の高まり|生活防衛意識|消費者の低価格志向|実質所得の伸び悩み
L2,consumer,real_income,実質所得,,,,実質賃金|実質所得|可処分所得
L2,consumer,thrift,節約志向,,,,節約志向|生活防衛|低価格志向
L2,consumer,sentiment,消費マインド,,,,消費者マインド|消費者心理
L2,consumer,spending_shift,需要シフト,,,,内食|外食化|選択的支出
L1,financial_conditions,,金融環境,金利・信用・資金調達環境の変化。,政策金利|市場金利|貸出金利|イールドカーブ|信用環境|資金調達環境,自社の支払利息増加（企業への影響）|借入の実行（企業アクション）|株価・資産価格（asset_price）,政策金利の引上げ|金利上昇|金融緩和の修正|調達環境の悪化
L2,financial_conditions,policy_rate,政策金利,,,,政策金利|利上げ|金融政策
L2,financial_conditions,market_rate,市場金利,,,,長期金利|国債利回り|イールドカーブ
L2,financial_conditions,lending_rate,貸出金利,,,,貸出金利|借入金利
L2,financial_conditions,credit_condition,信用環境,,,,信用環境|与信
L2,financial_conditions,funding_condition,資金調達環境,,,,資金調達環境|起債環境
L1,trade_policy,,通商政策,政府による貿易・投資の制限や優遇。,関税|輸出規制|輸入規制|経済制裁|貿易協定|投資規制,地政学的な緊張そのもの（geopolitics）|国内の業法・環境規制（regulation）,追加関税の発動|輸出規制の強化|相互関税|通商政策の不確実性
L2,trade_policy,tariff,関税,,,,関税|相互関税
L2,trade_policy,export_control,輸出規制,,,,輸出規制|輸出管理
L2,trade_policy,import_restriction,輸入規制,,,,輸入規制|輸入制限
L2,trade_policy,sanction,経済制裁,,,,経済制裁|禁輸
L2,trade_policy,trade_agreement,貿易協定,,,,貿易協定|EPA|FTA
L1,geopolitics,,地政学,国際政治・軍事情勢の緊張。,中東情勢|ロシア・ウクライナ|米中対立|台湾海峡|紅海など海上輸送路の緊張,制裁・関税という政策手段（trade_policy）|物流の物理的制約（supply_chain）,中東情勢の緊迫化|地政学リスクの高まり|国際情勢の不透明感
L2,geopolitics,middle_east,中東情勢,,,,中東|イスラエル|イラン
L2,geopolitics,russia_ukraine,ロシア・ウクライナ,,,,ロシア|ウクライナ
L2,geopolitics,us_china,米中対立,,,,米中|デカップリング
L2,geopolitics,taiwan_strait,台湾海峡,,,,台湾
L2,geopolitics,shipping_route,海上輸送路,,,,紅海|スエズ|パナマ運河|ホルムズ
L2,geopolitics,other_geopolitics,その他地政学,,,,
L1,supply_chain,,サプライチェーン,物理的な供給・調達・輸送の制約。価格ではなく量と経路の問題を扱う。,物流混乱|海上輸送制約|部材不足|半導体不足|調達難|取引先の生産停止による波及,価格の変動（commodity_price / import_price）|自社工場の停止（企業アクション・影響）,部材の調達難|物流の混乱|サプライチェーンの寸断|供給制約
L2,supply_chain,logistics_disruption,物流混乱,,,,物流の混乱|輸送の遅延
L2,supply_chain,shipping_constraint,海上輸送制約,,,,海上輸送|コンテナ|船腹
L2,supply_chain,parts_shortage,部材不足,,,,部材不足|半導体不足|供給不足
L2,supply_chain,procurement_difficulty,調達難,,,,調達難|調達制約
L2,supply_chain,supplier_disruption,取引先の供給停止,,,,取引先の生産停止|サプライヤーの被災
L1,industry_supply_demand,,業界需給,特定産業内の供給能力・在庫・市況のバランス。,供給過剰|供給不足|在庫調整|生産能力の過不足|市況の悪化・改善|競争環境の変化,マクロ全体の需要（demand）|物理的な供給障害（supply_chain）,在庫調整の進展|市況の悪化|需給の緩和|競争環境の激化
L2,industry_supply_demand,oversupply,供給過剰,,,,供給過剰|生産過剰
L2,industry_supply_demand,undersupply,供給不足,,,,供給不足|品薄
L2,industry_supply_demand,inventory_adjustment,在庫調整,,,,在庫調整|在庫圧縮
L2,industry_supply_demand,capacity_balance,生産能力の過不足,,,,稼働率|生産能力
L2,industry_supply_demand,market_condition,市況,,,,市況の悪化|市況の改善
L2,industry_supply_demand,competition,競争環境,,,,競争激化|価格競争
L1,tech_investment_cycle,,技術・投資サイクル,技術動向に牽引される投資・需要のサイクル。,AI需要|半導体サイクル|データセンター投資|IT投資|EV化|技術更新需要,自社の設備投資（企業アクション）|一般的な設備投資需要（demand）,AI関連需要の拡大|半導体市況の回復|データセンター投資の増加
L2,tech_investment_cycle,ai_demand,AI需要,,,,AI需要|生成AI
L2,tech_investment_cycle,semiconductor_cycle,半導体サイクル,,,,半導体市況|半導体需要
L2,tech_investment_cycle,datacenter_capex,データセンター投資,,,,データセンター|DC投資
L2,tech_investment_cycle,it_investment,IT投資,,,,IT投資|DX投資
L2,tech_investment_cycle,ev_shift,EV化・電動化,,,,EV|電動化
L2,tech_investment_cycle,replacement_demand,技術更新需要,,,,更新需要|リプレース
L1,regulation,,規制・制度,法令・制度・政策の変更。,環境規制|脱炭素政策|税制|補助金|業法改正|会計基準・開示制度の変更,通商政策（trade_policy）|自社の対応（企業アクション）,規制の強化|制度改正|補助金の交付決定|脱炭素対応の要請
L2,regulation,environment,環境規制,,,,環境規制|排出規制
L2,regulation,decarbonization,脱炭素政策,,,,脱炭素|カーボンプライシング|GX
L2,regulation,tax,税制,,,,税制改正|課税
L2,regulation,subsidy,補助金,,,,補助金|助成
L2,regulation,industry_law,業法・制度改正,,,,業法|制度改正|法改正
L2,regulation,accounting_disclosure,会計・開示制度,,,,会計基準|開示制度
L1,asset_price,,資産価格,不動産・金融資産の価格変動。,地価|不動産価格|賃料相場|株価|その他の資産市況,金利そのもの（financial_conditions）|自社保有資産の売却益（企業への影響）,地価の上昇|不動産市況の改善|株式相場の変動
L2,asset_price,land_price,地価,,,,地価|路線価
L2,asset_price,real_estate_price,不動産価格,,,,不動産価格|物件価格
L2,asset_price,rent,賃料相場,,,,賃料|空室率
L2,asset_price,equity_price,株価,,,,株式相場|株価水準
L1,weather_disaster,,天候・自然災害,気象・自然災害による外部環境の変化。,猛暑|暖冬|寒波|台風|豪雨・洪水|地震|干ばつ|不漁・不作,自社拠点の被害そのもの（企業への影響）|操業面の対応（企業アクション）,記録的な猛暑|台風の影響|地震の発生|天候不順による不作
L2,weather_disaster,heatwave,猛暑,,,,猛暑|記録的な暑さ
L2,weather_disaster,warm_winter,暖冬,,,,暖冬
L2,weather_disaster,cold_wave,寒波,,,,寒波|厳冬
L2,weather_disaster,typhoon,台風,,,,台風
L2,weather_disaster,heavy_rain,豪雨・洪水,,,,豪雨|大雨|洪水|浸水
L2,weather_disaster,earthquake,地震,,,,地震
L2,weather_disaster,drought,干ばつ,,,,干ばつ|渇水
L2,weather_disaster,poor_harvest,不作・不漁,,,,不作|不漁|作柄
L1,other,,その他,上記いずれにも当てはまらない外部環境の変化。分類体系の欠落を検知するための受け皿。,既存15テーマで表現できない外部要因,企業アクション|企業への影響|マクロ要因の記述がない場合（テーマを付与しない）,
